pair,corpus,scene,pair_kind,layout,season,height_m,tilt_deg,yaw_deg,scale_ratio,b_px,area_frac,covis_frac,compensation_src,вердикт,bytes,dup_group,dup_size,dup_kind
base_pair_65578066f712_00000_inside.npz,base,655780663aa0a700013167cc,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,1.0,global,без структуры,1993313,g0401,1,
base_pair_65578066f712_00001_partial.npz,base,655780663aa0a700013167cc,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,global,без структуры,1475156,g0401,1,
base_pair_65578066f712_00002_partial.npz,base,655780663aa0a700013167cc,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8424,global,без структуры,2260113,g0401,1,
base_pair_65578066f712_00003_inside.npz,base,655780663aa0a700013167cc,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,1.0,global,без структуры,2173953,g0401,1,
base_pair_65578066f712_00004_partial.npz,base,655780663aa0a700013167cc,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.853,global,без структуры,2230391,g0401,1,
base_pair_65578066f712_00005_inside.npz,base,655780663aa0a700013167cc,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9958,global,без структуры,2023330,g0401,1,
base_pair_65578066f712_00006_inside_ss.npz,base,655780663aa0a700013167cc,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.998,same_source,без структуры,2879281,g0401,1,
base_pair_65578066f712_00007_inside.npz,base,655780663aa0a700013167cc,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9938,global,без структуры,1731490,g0401,1,
base_pair_65578066f712_00008_partial.npz,base,655780663aa0a700013167cc,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8074,cell_refine,без структуры,2041499,g0401,1,
base_pair_65578066f712_00009_inside.npz,base,655780663aa0a700013167cc,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,1.0,cell_refine,без структуры,2148493,g0401,1,
base_pair_65578066f712_00010_inside.npz,base,655780663aa0a700013167cc,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9859,global,без структуры,2658702,g0401,1,
base_pair_65578066f712_00011_inside.npz,base,655780663aa0a700013167cc,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.973,global,без структуры,2570818,g0401,1,
base_pair_eb52147b1b71_00000_inside.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,inside,,193.0,4.23,341.51,0.743,1099,1.0,0.9951,cell_refine,разметка подтверждена,1736219,g0589,1,
base_pair_eb52147b1b71_00001_partial.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,partial,,231.7,2.03,48.26,0.892,768,0.7251,0.735,cell_refine,разметка подтверждена,1450438,g0589,1,
base_pair_eb52147b1b71_00002_partial.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,partial,,209.6,5.16,57.83,0.807,851,0.8488,0.8365,field,разметка подтверждена,2170513,g0589,1,
base_pair_eb52147b1b71_00003_inside.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,inside,,232.4,8.53,22.45,0.895,1154,1.0,0.9964,field,разметка подтверждена,2253471,g0589,1,
base_pair_eb52147b1b71_00004_partial.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,partial,,273.4,1.91,68.98,1.052,1486,0.8469,0.8505,cell_refine,разметка подтверждена,2384547,g0589,1,
base_pair_eb52147b1b71_00005_inside.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,inside,,265.0,2.15,300.8,1.02,1247,1.0,0.9993,cell_refine,разметка подтверждена,2062771,g0589,1,
base_pair_eb52147b1b71_00006_inside_ss.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9973,same_source,разметка подтверждена,2724111,g0589,1,
base_pair_eb52147b1b71_00007_inside.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,inside,,175.7,1.06,94.5,0.676,919,1.0,0.9975,field,разметка подтверждена,1617567,g0589,1,
base_pair_eb52147b1b71_00008_partial.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8072,cell_refine,разметка подтверждена,2282821,g0589,1,
base_pair_eb52147b1b71_00009_inside.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,inside,,227.6,5.87,239.39,0.876,1429,1.0,0.9996,cell_refine,разметка подтверждена,1943484,g0589,1,
base_pair_eb52147b1b71_00010_inside.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,inside,,214.1,7.75,207.61,0.824,1191,1.0,0.9992,cell_refine,разметка подтверждена,2381198,g0589,1,
base_pair_eb52147b1b71_00011_inside.npz,base,eb52147b-9298-4562-bb1d-ba5acb53f656,orto_basemap,inside,,191.6,2.95,182.18,0.738,1368,1.0,0.9991,cell_refine,разметка подтверждена,2218636,g0589,1,
base_pair_6a8f08f2c825_00000_inside.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,inside,,193.0,4.23,341.51,0.441,768,1.0,0.9984,cell_refine,разметка подтверждена,1497874,g0553,1,
base_pair_6a8f08f2c825_00001_partial.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,partial,,231.7,2.03,48.26,0.53,768,0.8897,0.8914,cell_refine,разметка подтверждена,1377383,g0553,1,
base_pair_6a8f08f2c825_00002_partial.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,partial,,209.6,5.16,57.83,0.479,768,0.6792,0.6752,global,разметка подтверждена,1580694,g0553,1,
base_pair_6a8f08f2c825_00003_inside.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,inside,,232.4,8.53,22.45,0.531,768,1.0,0.9982,global,разметка подтверждена,1921508,g0553,1,
base_pair_6a8f08f2c825_00004_partial.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,partial,,273.4,1.91,68.98,0.625,883,0.8468,0.8417,field,разметка подтверждена,1972362,g0553,1,
base_pair_6a8f08f2c825_00005_inside.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,inside,,265.0,2.15,300.8,0.606,768,1.0,0.9985,field,разметка подтверждена,1797788,g0553,1,
base_pair_6a8f08f2c825_00006_inside_ss.npz,base,6a8f08f29daab4e74c2ddca5,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,0.9924,same_source,разметка подтверждена,2592121,g0553,1,
base_pair_6a8f08f2c825_00007_inside.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,inside,,175.7,1.06,94.5,0.402,768,1.0,0.9992,global,разметка подтверждена,1396927,g0553,1,
base_pair_6a8f08f2c825_00008_partial.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,partial,,243.0,2.43,70.67,0.555,1187,0.8044,0.8065,global,разметка подтверждена,1905682,g0553,1,
base_pair_6a8f08f2c825_00009_inside.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,inside,,227.6,5.87,239.39,0.52,849,1.0,0.9993,global,разметка подтверждена,1545606,g0553,1,
base_pair_6a8f08f2c825_00010_inside.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,inside,,214.1,7.75,207.61,0.489,768,1.0,0.9988,global,разметка подтверждена,2135687,g0553,1,
base_pair_6a8f08f2c825_00011_inside.npz,base,6a8f08f29daab4e74c2ddca5,orto_basemap,inside,,191.6,2.95,182.18,0.438,812,1.0,0.9999,global,разметка подтверждена,1806992,g0553,1,
base_pair_5f75ec1d3c11_00000_inside.npz,base,5f75ec1d458b56000772bd59,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9981,global,разметка подтверждена,2222966,g0213,1,
base_pair_5f75ec1d3c11_00001_partial.npz,base,5f75ec1d458b56000772bd59,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.6888,global,разметка подтверждена,1522660,g0213,1,
base_pair_5f75ec1d3c11_00002_partial.npz,base,5f75ec1d458b56000772bd59,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8419,field,разметка подтверждена,2357385,g0213,1,
base_pair_5f75ec1d3c11_00003_inside.npz,base,5f75ec1d458b56000772bd59,orto_basemap,inside,,232.4,8.53,22.45,0.941,1214,1.0,1.0,field,разметка подтверждена,2415386,g0213,1,
base_pair_5f75ec1d3c11_00004_partial.npz,base,5f75ec1d458b56000772bd59,orto_basemap,partial,,273.4,1.91,68.98,1.149,1623,0.847,0.853,global,разметка подтверждена,2721615,g0213,1,
base_pair_5f75ec1d3c11_00005_inside.npz,base,5f75ec1d458b56000772bd59,orto_basemap,inside,,265.0,2.15,300.8,1.132,1384,1.0,0.9999,global,разметка подтверждена,2385122,g0213,1,
base_pair_5f75ec1d3c11_00006_inside_ss.npz,base,5f75ec1d458b56000772bd59,same_source,inside,,259.2,8.86,330.87,0.936,1246,1.0,1.0,same_source,разметка подтверждена,2662108,g0213,1,
base_pair_5f75ec1d3c11_00007_inside.npz,base,5f75ec1d458b56000772bd59,orto_basemap,inside,,175.7,1.06,94.5,0.983,1335,1.0,0.9695,field,разметка подтверждена,1911809,g0213,1,
base_pair_5f75ec1d3c11_00008_partial.npz,base,5f75ec1d458b56000772bd59,orto_basemap,partial,,243.0,2.43,70.67,0.876,1871,0.8047,0.8072,field,разметка подтверждена,2822927,g0213,1,
base_pair_5f75ec1d3c11_00009_inside.npz,base,5f75ec1d458b56000772bd59,orto_basemap,inside,,227.6,5.87,239.39,1.104,1801,1.0,1.0,field,разметка подтверждена,2486567,g0213,1,
base_pair_5f75ec1d3c11_00010_inside.npz,base,5f75ec1d458b56000772bd59,orto_basemap,inside,,214.1,7.75,207.61,1.116,1612,1.0,0.9999,field,разметка подтверждена,3006267,g0213,1,
base_pair_5f75ec1d3c11_00011_inside.npz,base,5f75ec1d458b56000772bd59,orto_basemap,inside,,191.6,2.95,182.18,1.034,1918,1.0,0.9998,field,разметка подтверждена,3063277,g0213,1,
base_pair_5b92d009f43a_00000_inside.npz,base,5b92d009a8395c000594b297,orto_basemap,inside,,193.0,4.23,341.51,0.993,1469,1.0,0.9983,global,разметка подтверждена,1879657,g0056,1,
base_pair_5b92d009f43a_00001_partial.npz,base,5b92d009a8395c000594b297,orto_basemap,partial,,231.7,2.03,48.26,1.113,847,0.6782,0.688,global,разметка подтверждена,1368038,g0056,1,
base_pair_5b92d009f43a_00002_partial.npz,base,5b92d009a8395c000594b297,orto_basemap,partial,,209.6,5.16,57.83,1.068,1127,0.8492,0.8422,field,разметка подтверждена,2125395,g0056,1,
