name,статус,причина,пар_ss,пар_base,пар_xdate,пар_карантин,вердикт_аудита,km2,res,bands,crs,lon,lat
00bd8daf-9c6d-430e-9a99-88f47e67875c,использован частично,подложка: узлов привязки 1 меньше 5,2,0,0,0,,1.271,0.0674,3,EPSG:32635,,
01ba2997-b6c2-4adc-abf6-a3d60437a502,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
094a605d-ce73-491c-b093-da4a3426bbf8,использован полностью,,2,4,0,0,разметка подтверждена,1.584,0.0301,3,EPSG:32618,,
0f2e9280-1857-46a2-8279-9a91b5b2a845,использован полностью,,6,12,0,0,разметка подтверждена,2.147,0.0663,3,EPSG:32635,,
0f45880a-9739-4a72-87a7-b39f5c186e02,использован полностью,,9,7,0,11,разметка подтверждена,3.739,0.0964,3,EPSG:32637,,
1194d475-57a1-4632-af51-5532bea8765a,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
16346c8c-58c9-446d-8cb7-973fd80e7abd,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
17f334f3-d9f7-4336-a53c-149d72dd5ef6,использован полностью,,6,1,0,11,привязка сдвинута,3.036,0.0617,3,EPSG:32635,,
1b55f538-42b6-45b8-9e7e-7dfdf4f45e24,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
1ddb5b50-d628-4a43-94bb-10e2fb0974ba,использован частично,подложка: узлов привязки 1 меньше 5,2,0,0,0,проверено частично,0.967,0.0659,3,EPSG:32635,,
1ebb17eb-3841-4d65-9318-9d09aeef7429,использован частично,подложка: узлов привязки 2 меньше 5,2,0,0,0,,1.112,0.05,3,EPSG:3857,,
1f57784f-f213-44ed-8306-f898b8303c3b,не годен по паспорту,площадь 0.06 км² меньше 0.5,0,0,0,0,,0.061,0.02,3,EPSG:3857,,
224a3085-055f-40d6-be72-5f1e15d24011,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
2855c743-cefc-4579-9d5e-ee9573bbf33c,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
2c52ca77-e8fe-4678-9594-95110953e2eb,использован полностью,,7,12,0,0,разметка подтверждена,6.227,0.0698,3,EPSG:32635,,
2e669ee7-3dc6-4e8c-812b-1d491bdd099a,использован полностью,,5,10,0,0,разметка подтверждена,2.874,0.0697,3,EPSG:32635,,
308b3946-98c2-46e0-9e4b-93ba9ad7019a,не годен по паспорту,неметрический CRS: единицы сетки не метры,0,0,0,0,,0.0,0.0,3,EPSG:4326,,
34c0f34d-2d19-429f-a32c-f38ad637d805,использован полностью,,5,10,0,0,разметка подтверждена,2.861,0.0308,3,EPSG:32616,,
