scene,modality,pairs,gray_frac,smooth,источник
00bd8daf-9c6d-430e-9a99-88f47e67875c,photo,2,0.0038,1.36643,автоматически
094a605d-ce73-491c-b093-da4a3426bbf8,photo,6,0.0186,1.17971,автоматически
0f2e9280-1857-46a2-8279-9a91b5b2a845,photo,18,0.0025,1.23059,автоматически
0f45880a-9739-4a72-87a7-b39f5c186e02,photo,16,0.0098,1.02143,автоматически
17f334f3-d9f7-4336-a53c-149d72dd5ef6,photo,7,0.0101,1.5015,автоматически
1ddb5b50-d628-4a43-94bb-10e2fb0974ba,photo,2,0.003,1.13753,автоматически
1ebb17eb-3841-4d65-9318-9d09aeef7429,photo,2,0.0026,0.73917,автоматически
2c52ca77-e8fe-4678-9594-95110953e2eb,photo,19,0.0009,0.86564,автоматически
2e669ee7-3dc6-4e8c-812b-1d491bdd099a,photo,15,0.0036,1.50947,автоматически
34c0f34d-2d19-429f-a32c-f38ad637d805,photo,15,0.0056,1.39328,автоматически
3e09b164-73b2-4ddc-967c-b5688934307a,photo,2,0.0034,1.24328,автоматически
40e1a7dd-7f1b-42ef-ab98-3907670782d9,photo,4,0.0026,1.32764,автоматически
5097fd96-0000-470d-9761-0e8ac89eb82c,photo,9,0.0018,0.94616,автоматически
587ffba8-bf97-4f31-807e-d223dcc1fdba,photo,5,0.0174,0.8277,автоматически
5ad7a59991b5310010e0d54c,photo,12,0.0185,1.45614,автоматически
5ad7a59991b5310010e0d54d,photo,2,0.013,1.28058,автоматически
5ad9a5f491b5310010e0d562,photo,12,0.0198,1.3314,автоматически
5b204ddd2b6a08001185f7de,photo,3,0.0084,1.25119,автоматически
5b2059672b6a08001185f7e1,photo,18,0.0104,1.67714,автоматически
5b2790b72b6a08001185f822,photo,18,0.0008,1.36342,автоматически
5b41f0722b6a08001185f93f,photo,19,0.028,1.37944,автоматически
5b446e1c2b6a08001185f970,photo,19,0.0159,1.35197,автоматически
5b474f8c2b6a08001185f98a,photo,5,0.0104,1.24598,автоматически
5b4fd1b84bda9e836eedbd8a,photo,12,0.0019,1.25587,автоматически
5b4fd1b84bda9e836eedbd8a(1),photo,12,0.0019,1.25587,автоматически
5b525ffc4bda9e312aedbdaa,photo,9,0.0404,1.34599,автоматически
5b5bb4eb09f9ef9c53bb99f2,photo,12,0.0103,1.59572,автоматически
5b603580c6768a08545216f6,photo,18,0.0031,1.55733,автоматически
5b62344acd6b8530f2171b71,photo,15,0.0235,1.38225,автоматически
5b70436b91cf641d09eeacbd,photo,9,0.0008,1.74798,автоматически
5b74101c71196445b263bd7d,photo,19,0.0049,1.02398,автоматически
5b773d856175251e6a5dac70,photo,13,0.0017,1.15053,автоматически
5b78f99705203f6dbb94d91b,photo,6,0.0034,1.35511,автоматически
5b794c3769e53f7a40915180,photo,15,0.0032,1.67749,автоматически
5b81522d7343a9d386347d12,photo,2,0.0029,1.23243,автоматически
5b8321897343a9fb84347d2c,photo,15,0.003,1.44317,автоматически
5b902ae08752bd000830171c,photo,23,0.0118,1.18403,автоматически
5b904b90c96cd00005f7cb2c,photo,27,0.0212,1.29111,автоматически
5b913858a0d7280005fab362,photo,19,0.0121,1.9165,автоматически
5b919659c4be300007b23c63,photo,12,0.0164,1.36967,автоматически
5b919b3ec4be300007b23c67,photo,27,0.0142,1.56395,автоматически
5b91cc2bc4be300007b23c71,photo,18,0.007,0.9526,автоматически
5b92d009a8395c000594b297,photo,27,0.0207,1.45112,автоматически
5b930a66a8395c000594b29b,photo,27,0.0126,1.42496,автоматически
5b93acd5c07f560005bb7379,photo,12,0.0049,1.26265,автоматически
5b95464b57a6ea0006076e99,photo,27,0.0181,1.42748,автоматически
5b95541857a6ea0006076e9e,photo,16,0.0139,1.61576,автоматически
5b99f9d53d79420007c327a2,photo,27,0.0076,1.29746,автоматически
5b9aed8be4a40e0007176faf,photo,15,0.0041,1.17023,автоматически
