pair,corpus,scene,pair_kind,mode,layout,season,height_m,tilt_deg,scale_ratio,covis_frac,b_px,src_split,geo_cluster,split,gt_class,gt_sigma_px,gt_sigma_src,weight,slice,modality,bytes
pair_L01_R0012_asis.npz,ortholoc,L01,frame_dop,asis,partial,,104.7,23.68,0.76,0.9898,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2640843
pair_L01_R0012_rect.npz,ortholoc,L01,rect_ortho,rect,partial,,104.7,23.68,1.0,0.8045,1024,test_inPlace,c_L01,train,exact,0.1,аналитическая,0.50,inplace,photo,1653926
pair_L01_R0024_asis.npz,ortholoc,L01,frame_dop,asis,partial,,105.3,24.32,0.753,0.8538,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1988315
pair_L01_R0037_asis.npz,ortholoc,L01,frame_dop,asis,partial,,105.4,24.93,0.676,0.734,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2615700
pair_L01_R0044_asis.npz,ortholoc,L01,frame_dop,asis,partial,,104.9,25.29,0.674,0.6918,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2477878
pair_L01_R0046_asis.npz,ortholoc,L01,frame_dop,asis,partial,,110.4,24.61,0.701,0.9849,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3262696
pair_L01_R0056_asis.npz,ortholoc,L01,frame_dop,asis,partial,,107.0,24.98,0.703,0.8323,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3022174
pair_L01_R0073_asis.npz,ortholoc,L01,frame_dop,asis,partial,,107.8,23.89,0.748,0.6088,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1867835
pair_L01_R0119_asis.npz,ortholoc,L01,frame_dop,asis,partial,,103.9,25.3,0.701,0.9898,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2605864
pair_L01_R0144_asis.npz,ortholoc,L01,frame_dop,asis,partial,,107.8,25.08,0.696,0.7506,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2713497
pair_L01_R0152_asis.npz,ortholoc,L01,frame_dop,asis,partial,,106.9,24.71,0.646,0.944,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3368878
pair_L01_R0169_asis.npz,ortholoc,L01,frame_dop,asis,partial,,100.9,25.38,0.712,0.8891,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2318967
pair_L01_R0170_asis.npz,ortholoc,L01,frame_dop,asis,partial,,105.8,25.03,0.661,0.9554,896,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3068722
pair_L01_R0176_asis.npz,ortholoc,L01,frame_dop,asis,partial,,103.7,25.29,0.7,0.9546,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2592168
pair_L01_R0182_asis.npz,ortholoc,L01,frame_dop,asis,partial,,96.7,24.65,0.723,0.8977,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2164300
pair_L01_R0195_asis.npz,ortholoc,L01,frame_dop,asis,inside,,101.3,27.21,0.687,1.0,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2515800
pair_L01_R0200_asis.npz,ortholoc,L01,frame_dop,asis,partial,,98.4,24.79,0.743,0.9181,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2425375
pair_L01_R0207_asis.npz,ortholoc,L01,frame_dop,asis,inside,,109.6,24.65,0.686,0.9997,1024,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,3362769
pair_L01_R0211_asis.npz,ortholoc,L01,frame_dop,asis,partial,,98.4,25.03,0.748,0.6938,640,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,1879392
pair_L01_R0216_asis.npz,ortholoc,L01,frame_dop,asis,partial,,101.2,24.56,0.687,0.9544,768,test_inPlace,c_L01,train,registered,0.97,оценка,1.00,inplace,photo,2091066
